MAG1,SIGNAL1,DATE,TIME,MAG2,SIGNAL2,MAG3,SIGNAL3,MAG4,SIGNAL4,MAG5,SIGNAL5,ALTITUDE,LINE,LAYBACK,MAG3_NORTH,MAG3_EAST
49731.629,1191,02/26/16,23:54:55,49730.12079,1299,49731.606,1287,49731.374,1452.5,49730.54574,1110.911765,4.429921,2019,3.8,6028162.504,276127.3807
49731.764,1191,02/26/16,23:54:55,49730.167,1299,49731.76253,1287,49731.46312,1456.676471,49730.63947,1111,4.429921,2019,3.8,6028162.266,276127.5789
49731.764,1191,02/26/16,23:54:56,49730.28,1304,49731.898,1287,49731.42131,1449.123711,49730.56524,1111,4.424323,2019,3.8,6028162.072,276127.7515
49731.719,1194,02/26/16,23:54:56,49730.209,1304,49731.741,1287,49731.29123,1445.078431,49730.51234,1111.4375,4.410328,2019,3.8,6028161.861,276127.953
49731.606,1194,02/26/16,23:54:56,49730.15483,1304,49731.63037,1288.97561,49731.30949,1451.431373,49730.46112,1113,4.388209073,2019,3.8,6028161.673,276128.1404
49731.629,1194,02/26/16,23:54:56,49730.1,1304,49731.584,1289,49731.314,1457.254902,49730.47639,1113,4.387936,2019,3.8,6028161.471,276128.3427
49731.584,1196,02/26/16,23:54:56,49730.074,1304,49731.584,1289,49731.354,1452.352941,49730.50256,1113,4.354348,2019,3.8,6028161.265,276128.5228
49731.606,1194,02/26/16,23:54:56,49730.145,1306,49731.719,1287,49731.40381,1445.309278,49730.52494,1113,4.354348,2019,3.8,6028161.046,276128.6986
49731.606,1194,02/26/16,23:54:56,49730.164,1304,49731.696,1287,49731.40128,1449.536082,49730.52935,1113,4.34875,2019,3.8,6028160.838,276128.8831
49731.741,1194,02/26/16,23:54:56,49730.233,1300,49731.898,1289,49731.43522,1455.70297,49730.54524,1113,4.334755,2019,3.8,6028160.637,276129.0734
49731.741,1194,02/26/16,23:54:56,49730.277,1301,49731.898,1289,49731.366,1452.666667,49730.49149,1113,4.334755,2019,3.8,6028160.44,276129.2671
49731.741,1194,02/26/16,23:54:57,49730.28,1306,49731.943,1287,49731.3135,1448.333333,49730.4553,1113,4.301167,2019,3.8,6028160.258,276129.4687
49731.719,1194,02/26/16,23:54:57,49730.209,1306,49731.854,1287,49731.20497,1449.941176,49730.39305,1113,4.29277,2019,3.8,6028160.093,276129.6772
49731.606,1194,02/26/16,23:54:57,49730.132,1301,49731.741,1287,49731.11535,1456.117647,49730.32318,1113,4.29277,2019,3.8,6028159.926,276129.8748
49731.468,1194,02/26/16,23:54:57,49730.055,1296,49731.63121,1287.975904,49730.97444,1455.205882,49730.24932,1113,4.29277,2019,3.8,6028159.757,276130.078
