MAG1,SIGNAL1,DATE,TIME,MAG2,SIGNAL2,MAG3,SIGNAL3,MAG4,SIGNAL4,MAG5,SIGNAL5,ALTITUDE,LINE,LAYBACK,MAG3_NORTH,MAG3_EAST
49730.142,742,02/27/16,07:51:09,49733.383,903,49732.64,994,49735.00474,588,49734.63832,281,4.253584,1031,3.8,6027666.913,276662.1647
49730.235,742,02/27/16,07:51:09,49733.652,901,49732.85528,997.4907975,49735.1954,586.742268,49734.71022,281,4.275907313,1031,3.8,6027667.083,276661.9676
49730.322,740,02/27/16,07:51:09,49733.65347,899.5269461,49732.891,999,49735.22525,587.6037736,49734.72969,281,4.287172,1031,3.8,6027667.256,276661.7657
49730.37,742,02/27/16,07:51:09,49733.655,898,49732.955,996,49735.117,586,49734.70488,281,4.26478,1031,3.8,6027667.431,276661.5617
49730.367,740,02/27/16,07:51:09,49733.7,898,49732.846,996,49735.18844,586,49734.72518,279.7941176,4.273177,1031,3.8,6027667.607,276661.3574
49730.437,740,02/27/16,07:51:09,49733.812,898,49732.891,994,49735.21754,584.71875,49734.85229,278,4.306765,1031,3.8,6027667.772,276661.1656
49730.524,740,02/27/16,07:51:09,49733.85672,898,49732.93423,994,49735.28049,583,49734.92376,278,4.306765,1031,3.8,6027667.949,276660.9591
49730.594,740,02/27/16,07:51:09,49733.902,898,49732.978,994,49735.43118,582.8823529,49734.92319,278,4.306765,1031,3.8,6027668.118,276660.7626
49730.637,740,02/27/16,07:51:09,49733.97,898,49733.023,991,49735.43359,581.2745098,49734.91546,278,4.334755,1031,3.8,6027668.296,276660.5556
49730.684,737,02/27/16,07:51:10,49734.015,898,49733.003,994,49735.38515,582.3958333,49734.94224,278,4.315162,1031,3.8,6027668.467,276660.3567
49730.639,740,02/27/16,07:51:10,49733.97,901,49733.00151,995.006135,49735.42374,583.9896907,49734.96297,278,4.330582258,1031,3.8,6027668.638,276660.1566
49730.682,740,02/27/16,07:51:10,49733.9475,899.5,49733.003,996,49735.40932,586,49735.00947,278,4.334755,1031,3.8,6027668.811,276659.9557
49730.639,740,02/27/16,07:51:10,49733.925,898,49732.933,996,49735.41092,586,49735.0392,278,4.34875,1031,3.8,6027668.983,276659.7536
49730.729,740,02/27/16,07:51:10,49733.88,898,49732.981,996,49735.49512,583.7058824,49735.08999,278,4.37674,1031,3.8,6027669.151,276659.5501
49730.861,742,02/27/16,07:51:10,49734.105,898,49733.1597,998.9634146,49735.53588,586,49735.232,281,4.376569329,1031,3.8,6027669.318,276659.3472
49730.887,742,02/27/16,07:51:10,49734.11607,898,49733.204,1000,49735.57142,586,49735.28345,281,4.3865365,1031,3.8,6027669.487,276659.1453
49730.932,742,02/27/16,07:51:10,49734.127,898,49733.248,1001,49735.746,586,49735.23945,281,4.396333,1031,3.8,6027669.653,276658.9491
49730.932,742,02/27/16,07:51:10,49734.217,901,49733.25,999,49735.6023,586,49735.27013,281,4.410328,1031,3.8,6027669.823,276658.7481
49730.929,742,02/27/16,07:51:11,49734.15,901,49733.34,996,49735.75207,584.4257426,49735.364,281,4.415926,1031,3.8,6027669.99,276658.5524
49730.977,740,02/27/16,07:51:11,49734.14852,899.5185185,49733.33901,996,49735.67635,586,49735.42422,281,4.420072667,1031,3.8,6027670.156,276658.3503
49730.977,742,02/27/16,07:51:11,49734.147,898,49733.338,996,49735.7922,586,49735.41525,281,4.424323,1031,3.8,6027670.32,276658.1531
49730.996,740,02/27/16,07:51:11,49734.195,898,49733.408,996,49735.77158,586,49735.37618,281,4.438318,1031,3.8,6027670.486,276657.9519
49731.134,740,02/27/16,07:51:11,49734.33,898,49733.408,999,49735.72266,586,49735.34302,280.0204082,4.471906,1031,3.8,6027670.652,276657.7564
49731.089,737,02/27/16,07:51:11,49734.33,898,49733.3275,996,49735.76463,584.9117647,49735.38422,278,4.477504,1031,3.8,6027670.817,276657.561
49731.157,740,02/27/16,07:51:11,49734.341,898,49733.295,996,49735.83647,583,49735.53925,278,4.491499,1031,3.8,6027670.984,276657.3661
49731.201,740,02/27/16,07:51:11,49734.352,898,49733.405,996,49735.83885,583,49735.56516,278,4.505494,1031,3.8,6027671.15,276657.1708
49731.291,740,02/27/16,07:51:11,49734.442,898,49733.52,994,49735.92723,583,49735.57079,278,4.519489,1031,3.8,6027671.313,276656.9734
49731.221,742,02/27/16,07:51:11,49734.397,901,49733.585,999,49735.99522,586,49735.636,281,4.525087,1031,3.8,6027671.476,276656.7795
49731.269,742,02/27/16,07:51:11,49734.41964,901,49733.62021,1000.006135,49736.06162,586.4158416,49735.67273,281,4.541984031,1031,3.8,6027671.641,276656.5812
